title,rating_count
'Til There Was You (1997),9
1-900 (1994),5
101 Dalmatians (1996),109
12 Angry Men (1957),125
187 (1997),41
2 Days in the Valley (1996),93
"20,000 Leagues Under the Sea (1954)",72
2001: A Space Odyssey (1968),259
3 Ninjas: High Noon At Mega Mountain (1998),5
"39 Steps, The (1935)",59
8 1/2 (1963),38
8 Heads in a Duffel Bag (1997),4
8 Seconds (1994),4
A Chef in Love (1996),8
Above the Rim (1994),5
Absolute Power (1997),127
"Abyss, The (1989)",151
Ace Ventura: Pet Detective (1994),103
Ace Ventura: When Nature Calls (1995),37
Across the Sea of Time (1995),4
Addams Family Values (1993),87
Addicted to Love (1997),54
"Addiction, The (1995)",11
"Adventures of Pinocchio, The (1996)",39
"Adventures of Priscilla, Queen of the Desert, The (1994)",111
"Adventures of Robin Hood, The (1938)",67
"Affair to Remember, An (1957)",26
"African Queen, The (1951)",152
Afterglow (1997),18
"Age of Innocence, The (1993)",65
Aiqing wansui (1994),1
Air Bud (1997),43
Air Force One (1997),431
"Air Up There, The (1994)",16
Airheads (1994),32
Akira (1988),50
Aladdin (1992),219
Aladdin and the King of Thieves (1996),26
Alaska (1996),13
Albino Alligator (1996),6
Alice in Wonderland (1951),81
Alien (1979),291
Alien 3 (1992),100
Alien: Resurrection (1997),124
Aliens (1986),284
All About Eve (1950),66
All Dogs Go to Heaven 2 (1996),15
All Over Me (1997),3
All Things Fair (1996),1
Alphaville (1965),12
Amadeus (1984),276
Amateur (1994),18
"Amazing Panda Adventure, The (1995)",10
American Buffalo (1996),11
American Dream (1990),2
"American President, The (1995)",164
American Strays (1996),2
"American Werewolf in London, An (1981)",99
"American in Paris, An (1951)",50
Amistad (1997),124
Amityville 1992: It's About Time (1992),5
Amityville 3-D (1983),6
"Amityville Curse, The (1990)",4
"Amityville Horror, The (1979)",53
Amityville II: The Possession (1982),14
Amityville: A New Generation (1993),5
Amityville: Dollhouse (1996),3
Amos & Andrew (1993),19
An Unforgettable Summer (1994),4
Anaconda (1997),38
Anastasia (1997),66
Andre (1994),18
